"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11500-00106,꿈빛,어린이공원,,서울특별시 강서구 내발산동 657-3,37.556117,126.840003,1500,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00107,활주로,어린이공원,,서울특별시 강서구 공항동1341,37.554197,126.815978,2116.4,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00108,다솔,어린이공원,,서울특별시 강서구 공항동1361,37.554534,126.818395,2492.7,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00109,장미,어린이공원,,서울특별시 강서구 공항동668,37.556809,126.813805,1661.5,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00110,송정,어린이공원,,서울특별시 강서구 공항동42-11,37.560635,126.811276,397,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00111,쌈지,어린이공원,,서울특별시 강서구 방화동 266-24,37.571198,126.815040,3973,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00112,개나리,어린이공원,,서울특별시 강서구 방화동 569-14,37.573113,126.812217,252,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00113,긴등,어린이공원,,서울특별시 강서구 방화동 247-201,37.567986,126.816214,253,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00114,문성,어린이공원,,서울특별시 강서구 방화동 608-112,37.564839,126.815435,254,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00115,새싹,어린이공원,,서울특별시 강서구 방화동 448-5,37.574806,126.812748,334,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00116,도레미,어린이공원,,서울특별시 강서구 방화동 184-66,37.571792,126.819136,6649,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00117,들꽃,어린이공원,,서울특별시 강서구 방화동 890-1,37.570583,126.821180,705,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00118,봉선화,어린이공원,,서울특별시 강서구 방화동 645-13,37.566522,126.806987,552,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00119,민들레,어린이공원,,서울특별시 강서구 방화동 648-13,37.567221,126.806730,589,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00120,내촌,어린이공원,,서울특별시 강서구 방화동 551-26,37.570073,126.808687,1149,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00121,신대부석,어린이공원,,서울특별시 강서구 방화동 411,37.583724,126.816494,1132,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00122,목련,어린이공원,,서울특별시 강서구 방화동 616-1,37.564958,126.807825,251,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00123,샛별,어린이공원,,서울특별시 강서구 방화동 558,37.572699,126.809466,294,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00124,새싹,어린이공원,,서울특별시 강서구 방화동 583,37.5694850917,126.8093441700,4939,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00125,은하수,어린이공원,,서울특별시 강서구 방화동 853,37.570621,126.806422,3825.8,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00126,능말,어린이공원,,서울특별시 강서구 방화동 815,37.577955,126.810583,1520.7,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00127,메아리,어린이공원,,서울특별시 강서구 방화동 826,37.578615,126.814415,1511.6,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00128,느티,어린이공원,,서울특별시 강서구 방화동 799,37.579358,126.810313,1512.9,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00129,돌샘,어린이공원,,서울특별시 강서구 방화동 837,37.576054,126.818793,1500.3,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00130,꿈나무,어린이공원,,서울특별시 강서구 방화동 840,37.575238,126.818941,1500.2,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00131,개화,어린이공원,,서울특별시 강서구 방화동 818,37.580248,126.812534,1512.2,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00132,긴등마을,어린이공원,,서울특별시 강서구 공항동 4-36,37.563075,126.818681,1645.3,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00133,꿈자람,어린이공원,,서울특별시 강서구 공항동 484,37.564793,126.819154,2014,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00134,다솜,어린이공원,,서울특별시 강서구 공항동 4,37.563003,126.818160,511,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00135,풀잎,어린이공원,,서울특별시 강서구 공항동 705,37.556989,126.817017,1945,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00136,푸르미,어린이공원,,서울특별시 강서구 마곡동 316-1,37.570311,126.825543,1494,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00137,예솔,어린이공원,,서울특별시 강서구 마곡동 397-1,37.563515,126.822740,864,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00138,솔,어린이공원,,서울특별시 강서구 외발산동 69-1,37.555856,126.825767,2000,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
11500-00139,햇빛,어린이공원,,서울특별시 강서구 내발산동 384-2,37.555822,126.826886,2066,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
